name,lat,long,street_address
St-Viateur Bagel (Mile End original),45.5226914,-73.6019581,"263 Rue Saint-Viateur Ouest, Montréal, QC H2V 1Y1"
St-Viateur Bagel - Mile End,45.5237683,-73.6005746,"158 Rue Saint-Viateur Ouest, Montréal, QC H2T 2L4"
St-Viateur Bagel Bar,45.5237507,-73.6006492,"162 Rue Saint-Viateur Ouest, Montréal, QC H2T 2L3"
St-Viateur Bagel & Café Mont-Royal,45.5284180,-73.5790160,"1127 Avenue du Mont-Royal Est, Montréal, QC H2J 1X9"
St-Viateur Bagel Anjou,45.6110948,-73.5894000,"10350 Rue Renaude-Lapointe, Anjou, QC H1J 2W1"
St-Viateur Bagel (Marché Esposito),45.5033233,-73.6765215,"340 Boulevard Marcel-Laurin, Saint-Laurent, QC H4M 2L4"
St-Viateur Bagel & Café DDO,45.4756046,-73.8126645,"821 Rue Tecumseh, Dollard-des-Ormeaux, QC H9R 4X8"
Fairmount Bagel,45.5228777,-73.5951705,"74 Avenue Fairmount Ouest, Montréal, QC H2T 2M2"
Café Fairmount Bagel,45.5231559,-73.5953950,"65 Avenue Fairmount Ouest, Montréal, QC H2T 2M3"
bbagels,45.5270224,-73.5803331,"945 Avenue du Mont-Royal Est, Montréal, QC H2J 1X3"
Beaubien Bagel,45.5364337,-73.6026478,"828 Rue Beaubien Est, Montréal, QC H2S 1S9"
Bagels Le Trou - Griffintown,45.4871531,-73.5673402,"1845 Rue William, Montréal, QC H3J 0A7"
Bagels Le Trou - Rosemont,45.5473569,-73.5754990,"2825 Rue Masson, Montréal, QC H1Y 1W8"
La Fabrique de Bagel de Montréal (Balfour),45.5138229,-73.5720235,"3563 Boulevard Saint-Laurent, Montréal, QC H2X 2T6"
La Fabrique de Bagel de Montréal (Petite Italie),45.5343480,-73.6181585,"7172 Boulevard Saint-Laurent, Montréal, QC H2S 3E2"
La Fabrique de Bagel de Montréal (Square-Victoria),45.5020089,-73.5605637,"383 Rue Saint-Jacques Local C120, Montréal, QC H2Y 3Y9"
La Fabrique de Bagel de Montréal (De la Gauchetière),45.4985352,-73.5661785,"1000 Rue De la Gauchetière Ouest, Montréal, QC H3B 0A2"
La Fabrique de Bagel de Montréal (YUL Airport),45.4584312,-73.7502209,"975 Boulevard Roméo-Vachon Nord, Dorval, QC H4Y 1H1"
Kettleman's Bagel,45.4960526,-73.5708981,"1285 Avenue des Canadiens-de-Montréal, Montréal, QC H3B 0G4"
District Bagel - Avenue du Parc,45.5232705,-73.6041678,"5679 Avenue du Parc, Montréal, QC H2V 4H2"
District Bagel - Lucerne,45.5028948,-73.6448694,"709 Chemin Lucerne, Mont-Royal, QC H3R 2G8"
Bagel House,45.5020242,-73.6376345,"6700 Chemin de la Côte-des-Neiges, Montréal, QC H3S 2A9"
R.E.A.L. Bagel Inc.,45.4864815,-73.6263185,"4940 Chemin Queen Mary, Montréal, QC H3W 1X2"
Dizz's Bagel & Deli,45.4751928,-73.6415947,"6160 Chemin de la Côte-Saint-Luc, Montréal, QC H3X 2H1"
Dizz's Bagel Pointe-Claire,45.4308044,-73.8235911,"35 Avenue Cartier, Pointe-Claire, QC H9S 4K9"
M.T.L. Bagel,45.4584742,-73.6608543,"5452 Avenue Westminster, Côte-Saint-Luc, QC H4X 1X2"
Bagels on Greene,45.4862525,-73.5875134,"4160 Rue Sainte-Catherine Ouest, Westmount, QC H3Z 1P4"
Bagel de l'Ouest,45.4976544,-73.8118509,"4404 Boulevard des Sources, Dollard-des-Ormeaux, QC H8Y 3B7"
Yagel Bagel,45.4811600,-73.8420021,"4315 Boulevard Saint-Jean, Dollard-des-Ormeaux, QC H9H 2A4"
Bagel Henri-Bourassa,45.5541374,-73.6691049,"443 Boulevard Henri-Bourassa Est, Montréal, QC H3L 1C5"
Bagel Fréna Lachine,45.4350270,-73.6717919,"900 Rue Notre-Dame, Lachine, QC H8S 2B9"
Amore Bagels,45.5306490,-73.6568519,"1575 Rue Antonio-Barbeau, Montréal, QC H4N 2R5"
Hochelaga Bagel Club,45.5493379,-73.5420687,"3989 Rue Ontario Est, Montréal, QC H1W 1T1"
Bagel Etc,45.5188889,-73.5838889,"4320 Boulevard Saint-Laurent, Montréal, QC H2W 1Z3"
Bagel St-Lo Verdun,45.4528683,-73.5724521,"5411 Rue de Verdun, Verdun, QC H4H 1K6"
